Year,State,Area,FClass,VMT
2023,North Carolina,Rural,Local,9577235000
2023,North Carolina,Urban,Interstate,17840126020
2023,North Carolina,Urban,Other Freeways and Expressways,4399765570
2023,North Carolina,Urban,Other Principal Arterial,13545347900
2023,North Carolina,Urban,Minor Arterial,11707094410
2023,North Carolina,Urban,Major Collector,6094112140
2023,North Carolina,Urban,Minor Collector,480656580
2023,North Carolina,Urban,Local,15252255000
2023,North Dakota,Rural,Interstate,1729429070
2023,North Dakota,Rural,Other Freeways and Expressways,0
2023,North Dakota,Rural,Other Principal Arterial,2192099680
2023,North Dakota,Rural,Minor Arterial,821612190
2023,North Dakota,Rural,Major Collector,1002066740
2023,North Dakota,Rural,Minor Collector,0
2023,North Dakota,Rural,Local,1104807550
2023,North Dakota,Urban,Interstate,564354490
2023,North Dakota,Urban,Other Freeways and Expressways,0
2023,North Dakota,Urban,Other Principal Arterial,887225580
2023,North Dakota,Urban,Minor Arterial,602596060
2023,North Dakota,Urban,Major Collector,328268470
2023,North Dakota,Urban,Minor Collector,0
2023,North Dakota,Urban,Local,663561240
2023,Ohio,Rural,Interstate,9102861500
2023,Ohio,Rural,Other Freeways and Expressways,2116045750
2023,Ohio,Rural,Other Principal Arterial,4578189810
2023,Ohio,Rural,Minor Arterial,4201704510
2023,Ohio,Rural,Major Collector,7650583570
2023,Ohio,Rural,Minor Collector,1565002840
2023,Ohio,Rural,Local,5478624450
2023,Ohio,Urban,Interstate,24643604290
2023,Ohio,Urban,Other Freeways and Expressways,6548821560
2023,Ohio,Urban,Other Principal Arterial,13420812370
2023,Ohio,Urban,Minor Arterial,13061929900
2023,Ohio,Urban,Major Collector,9132288000
2023,Ohio,Urban,Minor Collector,508713370
2023,Ohio,Urban,Local,11214542880
2023,Oklahoma,Rural,Interstate,6153123140
2023,Oklahoma,Rural,Other Freeways and Expressways,71310890
2023,Oklahoma,Rural,Other Principal Arterial,5639821640
2023,Oklahoma,Rural,Minor Arterial,3037754180
2023,Oklahoma,Rural,Major Collector,5656358570
2023,Oklahoma,Rural,Minor Collector,122451660
2023,Oklahoma,Rural,Local,2081837000
2023,Oklahoma,Urban,Interstate,5738061670
2023,Oklahoma,Urban,Other Freeways and Expressways,3051104270
2023,Oklahoma,Urban,Other Principal Arterial,5628671270
2023,Oklahoma,Urban,Minor Arterial,4985686950
2023,Oklahoma,Urban,Major Collector,1419704130
2023,Oklahoma,Urban,Minor Collector,56702160
2023,Oklahoma,Urban,Local,2117054390
2023,Oregon,Rural,Interstate,4084059470
2023,Oregon,Rural,Other Freeways and Expressways,0
2023,Oregon,Rural,Other Principal Arterial,4573128270
2023,Oregon,Rural,Minor Arterial,1969052900
2023,Oregon,Rural,Major Collector,2239872190
2023,Oregon,Rural,Minor Collector,931001490
2023,Oregon,Rural,Local,843143430
2023,Oregon,Urban,Interstate,5577632670
2023,Oregon,Urban,Other Freeways and Expressways,1445286340
2023,Oregon,Urban,Other Principal Arterial,5686428090
2023,Oregon,Urban,Minor Arterial,4439540130
2023,Oregon,Urban,Major Collector,2910330520
2023,Oregon,Urban,Minor Collector,296282220
2023,Oregon,Urban,Local,1820135650
2023,Pennsylvania,Rural,Interstate,9193291800
2023,Pennsylvania,Rural,Other Freeways and Expressways,2293593850
2023,Pennsylvania,Rural,Other Principal Arterial,4773685880
2023,Pennsylvania,Rural,Minor Arterial,6072432310
2023,Pennsylvania,Rural,Major Collector,4066498040
2023,Pennsylvania,Rural,Minor Collector,1964969840
2023,Pennsylvania,Rural,Local,3886531680
2023,Pennsylvania,Urban,Interstate,14906659730
2023,Pennsylvania,Urban,Other Freeways and Expressways,8247150210
2023,Pennsylvania,Urban,Other Principal Arterial,17706937600
2023,Pennsylvania,Urban,Minor Arterial,12005614370
2023,Pennsylvania,Urban,Major Collector,8010202320
2023,Pennsylvania,Urban,Minor Collector,15911250
2023,Pennsylvania,Urban,Local,6982119680
2023,Rhode Island,Rural,Interstate,288988180
2023,Rhode Island,Rural,Other Freeways and Expressways,60592530
2023,Rhode Island,Rural,Other Principal Arterial,238003520
2023,Rhode Island,Rural,Minor Arterial,113883690
2023,Rhode Island,Rural,Major Collector,132133280
2023,Rhode Island,Rural,Minor Collector,24994110
2023,Rhode Island,Rural,Local,39203560
2023,Rhode Island,Urban,Interstate,1739634100
2023,Rhode Island,Urban,Other Freeways and Expressways,1196340110
2023,Rhode Island,Urban,Other Principal Arterial,1680365330
2023,Rhode Island,Urban,Minor Arterial,1036799110
2023,Rhode Island,Urban,Major Collector,585599670
2023,Rhode Island,Urban,Minor Collector,18442440
2023,Rhode Island,Urban,Local,408949290
2023,South Carolina,Rural,Interstate,7364819290
2023,South Carolina,Rural,Other Freeways and Expressways,148224220
2023,South Carolina,Rural,Other Principal Arterial,3953285390
2023,South Carolina,Rural,Minor Arterial,4090300480
2023,South Carolina,Rural,Major Collector,4208036950
2023,South Carolina,Rural,Minor Collector,249641750
2023,South Carolina,Rural,Local,2757144670
2023,South Carolina,Urban,Interstate,9781257280
2023,South Carolina,Urban,Other Freeways and Expressways,1149524840
2023,South Carolina,Urban,Other Principal Arterial,10240272380
2023,South Carolina,Urban,Minor Arterial,8231360920
2023,South Carolina,Urban,Major Collector,5159001180
